observed_at,energie,mois,indice,valeur,source,sha256
2026-09-15T04:53:26+00:00,electricite,2025-03,Endex 303,98.04,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-03,Endex 103,97.62,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-03,Endex 101,96.88,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-03,Epex DAM,91.10,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-02,Endex 303,98.04,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-02,Endex 103,97.62,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-02,Endex 101,107.65,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-02,Epex DAM,128.75,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-01,Endex 303,98.04,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-01,Endex 103,97.62,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-01,Endex 101,104.34,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2025-01,Epex DAM,112.00,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-12,Endex 303,89.03,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-12,Endex 103,82.48,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-12,Endex 101,99.61,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-12,Epex DAM,105.22,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-11,Endex 303,89.03,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-11,Endex 103,82.48,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-11,Endex 101,85.98,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-11,Epex DAM,108.94,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-10,Endex 303,89.03,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-10,Endex 103,82.48,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-10,Endex 101,72.29,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-10,Epex DAM,77.89,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
